PlayerId;Team;NTC;NMC;ELC;UFA;Scholarship;Average Salary;Major 1998;Major 1999;Major 2000;Major 2001;Major 2002;Major 2003;Major 2004;Major 2005;Major 2006;Major 2007;Major 2008;Major 2009;Major 2010;Major 2011;Minor 1998;Minor 1999;Minor 2000;Minor 2001;Minor 2002;Minor 2003;Minor 2004;Minor 2005;Minor 2006;Minor 2007;Minor 2008;Minor 2009;Minor 2010;Minor 2011
0;159;No;No;No;Yes;-;100;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;5;No;No;No;No;-;975000;975000;975000;975000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;17;No;No;No;Yes;-;4530000;4530000;4530000;4530000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3;156;No;No;No;Yes;-;100;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
4;11;No;No;Yes;No;-;255000;255000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;25060;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5;12;No;No;No;Yes;-;475000;475000;475000;475000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
6;221;No;No;No;Yes;-;2870000;2870000;2870000;2870000;2870000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
7;19;No;No;No;No;-;310000;310000;310000;310000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
8;186;No;No;No;No;-;100;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
9;177;No;No;No;Yes;-;100;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
